experience_driver,field_name,weight_contribution,percentage_of_signature
Product Availability → Online vs In-Store Discrepancy,matters,8,19.51219512195122
Product Availability → Online vs In-Store Discrepancy,behavioral_impact,6,14.634146341463413
Product Availability → Online vs In-Store Discrepancy,context,6,14.634146341463413
Product Availability → Online vs In-Store Discrepancy,stream_justification,4,9.75609756097561
Product Availability → Online vs In-Store Discrepancy,interaction_moment,4,9.75609756097561
Product Availability → Online vs In-Store Discrepancy,emotion,3,7.317073170731707
Product Availability → Online vs In-Store Discrepancy,opportunity_stream,3,7.317073170731707
Product Availability → Online vs In-Store Discrepancy,customer_journey,2,4.878048780487805
Product Availability → Online vs In-Store Discrepancy,theme,2,4.878048780487805
Product Availability → Online vs In-Store Discrepancy,customer_journey_stage,1,2.4390243902439024
Product Availability → Online vs In-Store Discrepancy,feedback_type,1,2.4390243902439024
Product Availability → Online vs In-Store Discrepancy,customer_effort_score,1,2.4390243902439024
Product Availability → Real-Time Stock Visibility,matters,8,19.51219512195122
Product Availability → Real-Time Stock Visibility,behavioral_impact,6,14.634146341463413
Product Availability → Real-Time Stock Visibility,context,6,14.634146341463413
Product Availability → Real-Time Stock Visibility,stream_justification,4,9.75609756097561
Product Availability → Real-Time Stock Visibility,interaction_moment,4,9.75609756097561
Product Availability → Real-Time Stock Visibility,emotion,3,7.317073170731707
Product Availability → Real-Time Stock Visibility,opportunity_stream,3,7.317073170731707
Product Availability → Real-Time Stock Visibility,customer_journey,2,4.878048780487805
Product Availability → Real-Time Stock Visibility,theme,2,4.878048780487805
Product Availability → Real-Time Stock Visibility,customer_journey_stage,1,2.4390243902439024
Product Availability → Real-Time Stock Visibility,feedback_type,1,2.4390243902439024
Product Availability → Real-Time Stock Visibility,customer_effort_score,1,2.4390243902439024
Order Accuracy → Substitution Quality,matters,8,19.51219512195122
Order Accuracy → Substitution Quality,behavioral_impact,6,14.634146341463413
Order Accuracy → Substitution Quality,context,6,14.634146341463413
Order Accuracy → Substitution Quality,stream_justification,4,9.75609756097561
Order Accuracy → Substitution Quality,interaction_moment,4,9.75609756097561
Order Accuracy → Substitution Quality,emotion,3,7.317073170731707
Order Accuracy → Substitution Quality,opportunity_stream,3,7.317073170731707
Order Accuracy → Substitution Quality,customer_journey,2,4.878048780487805
Order Accuracy → Substitution Quality,theme,2,4.878048780487805
Order Accuracy → Substitution Quality,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Substitution Quality,feedback_type,1,2.4390243902439024
Order Accuracy → Substitution Quality,customer_effort_score,1,2.4390243902439024
Order Accuracy → Item Fulfillment,matters,8,19.51219512195122
Order Accuracy → Item Fulfillment,behavioral_impact,6,14.634146341463413
Order Accuracy → Item Fulfillment,context,6,14.634146341463413
Order Accuracy → Item Fulfillment,stream_justification,4,9.75609756097561
Order Accuracy → Item Fulfillment,interaction_moment,4,9.75609756097561
Order Accuracy → Item Fulfillment,emotion,3,7.317073170731707
Order Accuracy → Item Fulfillment,opportunity_stream,3,7.317073170731707
Order Accuracy → Item Fulfillment,customer_journey,2,4.878048780487805
Order Accuracy → Item Fulfillment,theme,2,4.878048780487805
Order Accuracy → Item Fulfillment,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Item Fulfillment,feedback_type,1,2.4390243902439024
Order Accuracy → Item Fulfillment,customer_effort_score,1,2.4390243902439024
Order Accuracy → Fulfillment Notification,matters,8,19.51219512195122
Order Accuracy → Fulfillment Notification,behavioral_impact,6,14.634146341463413
Order Accuracy → Fulfillment Notification,context,6,14.634146341463413
Order Accuracy → Fulfillment Notification,stream_justification,4,9.75609756097561
Order Accuracy → Fulfillment Notification,interaction_moment,4,9.75609756097561
Order Accuracy → Fulfillment Notification,emotion,3,7.317073170731707
Order Accuracy → Fulfillment Notification,opportunity_stream,3,7.317073170731707
Order Accuracy → Fulfillment Notification,customer_journey,2,4.878048780487805
Order Accuracy → Fulfillment Notification,theme,2,4.878048780487805
Order Accuracy → Fulfillment Notification,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Fulfillment Notification,feedback_type,1,2.4390243902439024
Order Accuracy → Fulfillment Notification,customer_effort_score,1,2.4390243902439024
Delivery Experience → Timing,matters,8,19.51219512195122
Delivery Experience → Timing,behavioral_impact,6,14.634146341463413
Delivery Experience → Timing,context,6,14.634146341463413
Delivery Experience → Timing,stream_justification,4,9.75609756097561
Delivery Experience → Timing,interaction_moment,4,9.75609756097561
Delivery Experience → Timing,emotion,3,7.317073170731707
Delivery Experience → Timing,opportunity_stream,3,7.317073170731707
Delivery Experience → Timing,customer_journey,2,4.878048780487805
Delivery Experience → Timing,theme,2,4.878048780487805
Delivery Experience → Timing,customer_journey_stage,1,2.4390243902439024
Delivery Experience → Timing,feedback_type,1,2.4390243902439024
Delivery Experience → Timing,customer_effort_score,1,2.4390243902439024
Order Accuracy → Missing Item Notification,matters,8,19.51219512195122
Order Accuracy → Missing Item Notification,behavioral_impact,6,14.634146341463413
Order Accuracy → Missing Item Notification,context,6,14.634146341463413
Order Accuracy → Missing Item Notification,stream_justification,4,9.75609756097561
Order Accuracy → Missing Item Notification,interaction_moment,4,9.75609756097561
Order Accuracy → Missing Item Notification,emotion,3,7.317073170731707
Order Accuracy → Missing Item Notification,opportunity_stream,3,7.317073170731707
Order Accuracy → Missing Item Notification,customer_journey,2,4.878048780487805
Order Accuracy → Missing Item Notification,theme,2,4.878048780487805
Order Accuracy → Missing Item Notification,customer_journey_stage,1,2.4390243902439024
Order Accuracy → Missing Item Notification,feedback_type,1,2.4390243902439024
Order Accuracy → Missing Item Notification,customer_effort_score,1,2.4390243902439024
Order Accuracy → Error Resolution,matters,8,19.51219512195122
Order Accuracy → Error Resolution,behavioral_impact,6,14.634146341463413
Order Accuracy → Error Resolution,context,6,14.634146341463413
Order Accuracy → Error Resolution,stream_justification,4,9.75609756097561
Order Accuracy → Error Resolution,interaction_moment,4,9.75609756097561
Order Accuracy → Error Resolution,emotion,3,7.317073170731707
Order Accuracy → Error Resolution,opportunity_stream,3,7.317073170731707
