experience_driver,priority_class,associated_entity_names,most_recent_mention,no_of_mentions,eri_score,r_score,f_score,rf_score,rfi_score,emotion_perception_tier,rf_urgency_category,eri_rf_urgency_category,trend_block,momentum_block,volatility_block,pattern_block,quadrant_block,signal_strength_block,pem_block,window,emotional_audit_focus,emotion_distribution,status
Customer Service → Staff Interaction,P3,"['Metro Store Employees', 'Supervisor Ali']",2025-05-22,2,33.33,48.03,41.63,45.47,25.01,Positive,Watch,Positive x Watch,"{'trend_symbol': '↑', 'trend_pct': 66.67}","{'momentum_symbol': '↑', 'momentum_delta': 8.33}","{'volatility_tier': '⚠ Fluctuating', 'volatility_score': np.float64(33.33)}","{'has_pattern': False, 'pattern_type': 'N/A', 'pattern_strength': 'N/A', 'pattern_confidence': 'None', 'pain_day': 'N/A'}","{'signal_classification': {'saturation_index': 0.67, 'saturation_tier': 'High', 'momentum_tier': 'Moderately Rising', 'combined_quadrant': 'Moderately Rising Momentum × High Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Prime Expansion Zone', 'urgency_level': '🌱 Opportunity', 'interpretation': 'Loyalty is forming, act decisively.'}, 'tactical_insight': {'emotional_pulse': 'Prime Expansion Zone — Building steadily toward peak loyalty while Strong base with expansion potential', 'battle_status': '🌱 Opportunity Prime Expansion Zone', 'strategic_reality': 'Customers transitioning into deeper loyalty with positive emotional trajectory — system recommends Scale reinforcement tactics and pre-loyalty rewards.'}, 'actionable_strategy': {'momentum_context': 'Building steadily toward peak loyalty', 'saturation_context': 'Strong base with expansion potential', 'trajectory_story': 'Customers transitioning into deeper loyalty with positive emotional trajectory', 'action_guidance': 'Scale reinforcement tactics and pre-loyalty rewards.', 'recommended_owner': 'Marketing'}}","{'velocity_component': {'trend_symbol': '↑', 'momentum_symbol': '↑', 'velocity_score': 4, 'velocity_rationale': 'Moderate directional movement with matching momentum'}, 'saturation_component': {'saturation_index': 0.67, 'saturation_score': 1, 'saturation_rationale': 'High saturation — signal is nearing emotional capacity'}, 'qssi_summary': {'qssi_score': 5, 'qssi_tier': '🌱 Emerging Signal', 'qssi_interpretation': 'Signal beginning to form — track evolution'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Moderate', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': False, 'volatility_score': np.float64(33.33), 'momentum_tier': 'Moderately Rising', 'saturation_tier': 'High', 'qssi_tier': '🌱 Emerging Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers transitioning into deeper loyalty with positive emotional trajectory', 'action_guidance': 'Scale reinforcement tactics and pre-loyalty rewards.', 'recommended_owner': 'Marketing'}}",2025-05-02 to 2025-07-16,"['Agitation', 'Adoration']","{'Agitation': np.float64(50.0), 'Adoration': np.float64(50.0)}",Computed
Delivery Experience → Packaging Quality,P2,"['Oil and Ghee Packets', 'Order Packaging']",2025-06-29,2,-33.33,79.72,41.63,64.48,45.14,Negative,Escalate,Negative x Escalate,"{'trend_symbol': '→', 'trend_pct': 0.0}","{'momentum_symbol': '→', 'momentum_delta': 0.0}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(0.0)}","{'has_pattern': True, 'pattern_type': 'Weekly', 'pattern_strength': np.float64(0.82), 'pattern_confidence': 'Strong', 'pain_day': 'Friday'}","{'signal_classification': {'saturation_index': 0.33, 'saturation_tier': 'Low', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Friction State', 'urgency_level': '⚠️ Risk', 'interpretation': 'Low emotion, stagnant path — requires intervention.'}, 'tactical_insight': {'emotional_pulse': 'Friction State — Stuck in emotional limbo while Trapped at low investment levels', 'battle_status': '⚠️ Risk Friction State', 'strategic_reality': 'Customers maintaining negative connection without improvement or deterioration — system recommends Audit for service or process gaps.'}, 'actionable_strategy': {'momentum_context': 'Stuck in emotional limbo', 'saturation_context': 'Trapped at low investment levels', 'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}","{'velocity_component': {'trend_symbol': '→', 'momentum_symbol': '→', 'velocity_score': 0, 'velocity_rationale': 'No meaningful trend or momentum detected'}, 'saturation_component': {'saturation_index': 0.33, 'saturation_score': 3, 'saturation_rationale': 'Low saturation — likely early-stage signal'}, 'qssi_summary': {'qssi_score': 3, 'qssi_tier': '🔁 Weak Signal', 'qssi_interpretation': 'Low signal strength — may resolve on its own'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Moderate', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': True, 'volatility_score': np.float64(0.0), 'momentum_tier': 'Stable', 'saturation_tier': 'Low', 'qssi_tier': '🔁 Weak Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}",2025-05-02 to 2025-07-16,['Agitation'],{'Agitation': np.float64(100.0)},Computed
Delivery Experience → Timeliness,P2,"['Express Delivery Service', 'Grocery Delivery', 'Metro Online Delivery', 'Order Delivery', 'Order Delivery Timing', 'Same Day Delivery', 'Scheduled Delivery']",2025-07-16,7,4.76,100.0,78.79,91.52,64.06,Neutral,Emergency,Neutral x Emergency,"{'trend_symbol': '↑', 'trend_pct': 33.33}","{'momentum_symbol': '↑↑', 'momentum_delta': 51.73}","{'volatility_tier': '🔴 Highly Fluctuating', 'volatility_score': np.float64(77.39)}","{'has_pattern': True, 'pattern_type': 'Weekly', 'pattern_strength': np.float64(0.6), 'pattern_confidence': 'Strong', 'pain_day': 'Friday'}","{'signal_classification': {'saturation_index': 0.52, 'saturation_tier': 'Medium', 'momentum_tier': 'Strongly Rising', 'combined_quadrant': 'Strongly Rising Momentum × Medium Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Momentum Lift-Off', 'urgency_level': '🌱 Opportunity', 'interpretation': 'Emotion awakening — scale now.'}, 'tactical_insight': {'emotional_pulse': 'Momentum Lift-Off — Breaking through emotional resistance while Building from moderate foundation', 'battle_status': '🌱 Opportunity Momentum Lift-Off', 'strategic_reality': 'Neutral customers experiencing emotional awakening with significant growth potential — system recommends Capture momentum with smart CX nudges or rewards.'}, 'actionable_strategy': {'momentum_context': 'Breaking through emotional resistance', 'saturation_context': 'Building from moderate foundation', 'trajectory_story': 'Neutral customers experiencing emotional awakening with significant growth potential', 'action_guidance': 'Capture momentum with smart CX nudges or rewards.', 'recommended_owner': 'Marketing'}}","{'velocity_component': {'trend_symbol': '↑', 'momentum_symbol': '↑↑', 'velocity_score': 5, 'velocity_rationale': 'Rapid acceleration with positive momentum surge'}, 'saturation_component': {'saturation_index': 0.52, 'saturation_score': 2, 'saturation_rationale': 'Medium saturation — emotionally stable signal'}, 'qssi_summary': {'qssi_score': 7, 'qssi_tier': '🔥 Strong Signal', 'qssi_interpretation': 'Substantial shift in emotional dynamics — active attention required'}}","{'trajectory_forecast': {'pem_trajectory': 'Likely Escalation', 'pem_confidence': 'High', 'explanation': 'Rising momentum + critical signal + repeating pattern indicates emotional momentum will likely intensify'}, 'signal_diagnostics': {'has_repeating_pattern': True, 'volatility_score': np.float64(77.39), 'momentum_tier': 'Strongly Rising', 'saturation_tier': 'Medium', 'qssi_tier': '🔥 Strong Signal'}, 'future_risk_profile': {'trajectory_story': 'Neutral customers experiencing emotional awakening with significant growth potential', 'action_guidance': 'Capture momentum with smart CX nudges or rewards.', 'recommended_owner': 'Marketing'}}",2025-05-02 to 2025-07-16,"['Agitation', 'Adoration', 'Anger']","{'Agitation': np.float64(42.9), 'Adoration': np.float64(28.6), 'Anger': np.float64(14.3), 'Appreciation': np.float64(14.3)}",Computed
Delivery Experience → Timing,P1,"['3-Hour Delivery', 'Delivery Time Slot', 'Delivery Time Window', 'Express Delivery Service', 'Express Orders', 'Order Delivery', 'Order Number 960110008185003-1', 'Scheduled Delivery', 'Scheduled Delivery Date', 'Scheduled Delivery Slot']",2025-07-10,13,-43.59,92.31,100.0,95.39,81.08,Negative,Emergency,Negative x Emergency,"{'trend_symbol': '↑', 'trend_pct': 33.33}","{'momentum_symbol': '↓', 'momentum_delta': -10.48}","{'volatility_tier': '⚠ Fluctuating', 'volatility_score': np.float64(31.57)}","{'has_pattern': False, 'pattern_type': 'N/A', 'pattern_strength': 'N/A', 'pattern_confidence': 'None', 'pain_day': 'N/A'}","{'signal_classification': {'saturation_index': 0.28, 'saturation_tier': 'Low', 'momentum_tier': 'Moderately Falling', 'combined_quadrant': 'Moderately Falling Momentum × Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Danger Zone', 'urgency_level': '🚨 Crisis', 'interpretation': 'Downward pull + low loyalty — fix fast.'}, 'tactical_insight': {'emotional_pulse': 'Danger Zone — Sliding deeper into negativity while Losing remaining emotional value', 'battle_status': '🚨 Crisis Danger Zone', 'strategic_reality': 'Vulnerable customers declining further toward complete disconnection — system recommends Apply crisis workflows and cross-functional fixes.'}, 'actionable_strategy': {'momentum_context': 'Sliding deeper into negativity', 'saturation_context': 'Losing remaining emotional value', 'trajectory_story': 'Vulnerable customers declining further toward complete disconnection', 'action_guidance': 'Apply crisis workflows and cross-functional fixes.', 'recommended_owner': 'CX/Ops'}}","{'velocity_component': {'trend_symbol': '↑', 'momentum_symbol': '↓', 'velocity_score': 4, 'velocity_rationale': 'Moderate directional movement with matching momentum'}, 'saturation_component': {'saturation_index': 0.28, 'saturation_score': 3, 'saturation_rationale': 'Low saturation — likely early-stage signal'}, 'qssi_summary': {'qssi_score': 7, 'qssi_tier': '🔥 Strong Signal', 'qssi_interpretation': 'Substantial shift in emotional dynamics — active attention required'}}","{'trajectory_forecast': {'pem_trajectory': 'At Risk of Decay', 'pem_confidence': 'Moderate', 'explanation': 'Falling momentum + high volatility suggests emotional energy is fading or fracturing'}, 'signal_diagnostics': {'has_repeating_pattern': False, 'volatility_score': np.float64(31.57), 'momentum_tier': 'Moderately Falling', 'saturation_tier': 'Low', 'qssi_tier': '🔥 Strong Signal'}, 'future_risk_profile': {'trajectory_story': 'Vulnerable customers declining further toward complete disconnection', 'action_guidance': 'Apply crisis workflows and cross-functional fixes.', 'recommended_owner': 'CX/Ops'}}",2025-05-02 to 2025-07-16,"['Agitation', 'Anger']","{'Agitation': np.float64(69.2), 'Anger': np.float64(23.1), 'Appreciation': np.float64(7.7)}",Computed
Order Accuracy → Error Resolution,P3,"['Incorrect Item Delivery', 'Metro', 'Mortein All Insect Killer, Indomie Vegetable']",2025-05-25,3,-33.33,49.99,52.53,51.01,28.05,Negative,Watch,Negative x Watch,"{'trend_symbol': '→', 'trend_pct': 0.0}","{'momentum_symbol': '→', 'momentum_delta': 0.0}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(0.0)}","{'has_pattern': False, 'pattern_type': 'N/A', 'pattern_strength': 'N/A', 'pattern_confidence': 'None', 'pain_day': 'N/A'}","{'signal_classification': {'saturation_index': 0.33, 'saturation_tier': 'Low', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Friction State', 'urgency_level': '⚠️ Risk', 'interpretation': 'Low emotion, stagnant path — requires intervention.'}, 'tactical_insight': {'emotional_pulse': 'Friction State — Stuck in emotional limbo while Trapped at low investment levels', 'battle_status': '⚠️ Risk Friction State', 'strategic_reality': 'Customers maintaining negative connection without improvement or deterioration — system recommends Audit for service or process gaps.'}, 'actionable_strategy': {'momentum_context': 'Stuck in emotional limbo', 'saturation_context': 'Trapped at low investment levels', 'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}","{'velocity_component': {'trend_symbol': '→', 'momentum_symbol': '→', 'velocity_score': 0, 'velocity_rationale': 'No meaningful trend or momentum detected'}, 'saturation_component': {'saturation_index': 0.33, 'saturation_score': 3, 'saturation_rationale': 'Low saturation — likely early-stage signal'}, 'qssi_summary': {'qssi_score': 3, 'qssi_tier': '🔁 Weak Signal', 'qssi_interpretation': 'Low signal strength — may resolve on its own'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Low', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': False, 'volatility_score': np.float64(0.0), 'momentum_tier': 'Stable', 'saturation_tier': 'Low', 'qssi_tier': '🔁 Weak Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}",2025-05-02 to 2025-07-16,['Agitation'],{'Agitation': np.float64(100.0)},Computed
Order Accuracy → Item Fulfillment,P1,"['Fish Order', 'Order Fulfillment Communication', 'Ordered Item']",2025-06-21,3,-77.78,71.65,52.53,64.0,54.4,Very Negative,Escalate,Very Negative x Escalate,"{'trend_symbol': '↓', 'trend_pct': -33.33}","{'momentum_symbol': '→', 'momentum_delta': -1.96}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(11.27)}","{'has_pattern': False, 'pattern_type': 'N/A', 'pattern_strength': 'N/A', 'pattern_confidence': 'None', 'pain_day': 'N/A'}","{'signal_classification': {'saturation_index': 0.11, 'saturation_tier': 'Very Low', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Very Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Dead Zone', 'urgency_level': '🚨 Crisis', 'interpretation': 'No movement, no emotion — emotional disengagement.'}, 'tactical_insight': {'emotional_pulse': 'Dead Zone — Flatlined at emotional rock bottom while Zero emotional investment remaining', 'battle_status': '🚨 Crisis Dead Zone', 'strategic_reality': 'Customers in complete emotional disconnection with no signs of recovery — system recommends Consider exit campaigns or silent churn save tactics.'}, 'actionable_strategy': {'momentum_context': 'Flatlined at emotional rock bottom', 'saturation_context': 'Zero emotional investment remaining', 'trajectory_story': 'Customers in complete emotional disconnection with no signs of recovery', 'action_guidance': 'Consider exit campaigns or silent churn save tactics.', 'recommended_owner': 'CX'}}","{'velocity_component': {'trend_symbol': '↓', 'momentum_symbol': '→', 'velocity_score': 2, 'velocity_rationale': 'Directional change but stable momentum'}, 'saturation_component': {'saturation_index': 0.11, 'saturation_score': 4, 'saturation_rationale': 'Very low emotional saturation — fresh pain or interest forming'}, 'qssi_summary': {'qssi_score': 6, 'qssi_tier': '🔥 Strong Signal', 'qssi_interpretation': 'Substantial shift in emotional dynamics — active attention required'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Moderate', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': False, 'volatility_score': np.float64(11.27), 'momentum_tier': 'Stable', 'saturation_tier': 'Very Low', 'qssi_tier': '🔥 Strong Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers in complete emotional disconnection with no signs of recovery', 'action_guidance': 'Consider exit campaigns or silent churn save tactics.', 'recommended_owner': 'CX'}}",2025-05-02 to 2025-07-16,"['Anger', 'Agitation']","{'Anger': np.float64(66.7), 'Agitation': np.float64(33.3)}",Computed
Order Accuracy → Missing Item Notification,P2,"['Order Notification System', 'Pre-Delivery Notification System']",2025-07-02,2,0.0,82.97,41.63,66.43,46.5,Neutral,Escalate,Neutral x Escalate,"{'trend_symbol': '↑', 'trend_pct': 33.33}","{'momentum_symbol': '→', 'momentum_delta': 1.15}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(8.75)}","{'has_pattern': False, 'pattern_type': 'N/A', 'pattern_strength': 'N/A', 'pattern_confidence': 'None', 'pain_day': 'N/A'}","{'signal_classification': {'saturation_index': 0.5, 'saturation_tier': 'Medium', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Medium Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Balanced Neutral', 'urgency_level': '🔁 Watch', 'interpretation': 'No urgency — observe.'}, 'tactical_insight': {'emotional_pulse': 'Balanced Neutral — Holding in emotional equilibrium while Balanced with no clear direction', 'battle_status': '🔁 Watch Balanced Neutral', 'strategic_reality': 'Customers maintaining neutral stance with stable but uninspiring emotional connection — system recommends No immediate action — continue observation.'}, 'actionable_strategy': {'momentum_context': 'Holding in emotional equilibrium', 'saturation_context': 'Balanced with no clear direction', 'trajectory_story': 'Customers maintaining neutral stance with stable but uninspiring emotional connection', 'action_guidance': 'No immediate action — continue observation.', 'recommended_owner': 'CX'}}","{'velocity_component': {'trend_symbol': '↑', 'momentum_symbol': '→', 'velocity_score': 2, 'velocity_rationale': 'Directional change but stable momentum'}, 'saturation_component': {'saturation_index': 0.5, 'saturation_score': 2, 'saturation_rationale': 'Medium saturation — emotionally stable signal'}, 'qssi_summary': {'qssi_score': 4, 'qssi_tier': '🌱 Emerging Signal', 'qssi_interpretation': 'Signal beginning to form — track evolution'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Low', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': False, 'volatility_score': np.float64(8.75), 'momentum_tier': 'Stable', 'saturation_tier': 'Medium', 'qssi_tier': '🌱 Emerging Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers maintaining neutral stance with stable but uninspiring emotional connection', 'action_guidance': 'No immediate action — continue observation.', 'recommended_owner': 'CX'}}",2025-05-02 to 2025-07-16,"['Agitation', 'Appreciation']","{'Agitation': np.float64(50.0), 'Appreciation': np.float64(50.0)}",Computed
Order Accuracy → Missing Items,P3,"['Happy Cow Cheese', 'Innovative Digestive Biscuit']",2025-06-05,2,-33.33,57.89,41.63,51.38,28.26,Negative,Watch,Negative x Watch,"{'trend_symbol': '→', 'trend_pct': 0.0}","{'momentum_symbol': '→', 'momentum_delta': 0.0}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(0.0)}","{'has_pattern': True, 'pattern_type': 'Weekly', 'pattern_strength': np.float64(0.68), 'pattern_confidence': 'Strong', 'pain_day': 'Thursday'}","{'signal_classification': {'saturation_index': 0.33, 'saturation_tier': 'Low', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Friction State', 'urgency_level': '⚠️ Risk', 'interpretation': 'Low emotion, stagnant path — requires intervention.'}, 'tactical_insight': {'emotional_pulse': 'Friction State — Stuck in emotional limbo while Trapped at low investment levels', 'battle_status': '⚠️ Risk Friction State', 'strategic_reality': 'Customers maintaining negative connection without improvement or deterioration — system recommends Audit for service or process gaps.'}, 'actionable_strategy': {'momentum_context': 'Stuck in emotional limbo', 'saturation_context': 'Trapped at low investment levels', 'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}","{'velocity_component': {'trend_symbol': '→', 'momentum_symbol': '→', 'velocity_score': 0, 'velocity_rationale': 'No meaningful trend or momentum detected'}, 'saturation_component': {'saturation_index': 0.33, 'saturation_score': 3, 'saturation_rationale': 'Low saturation — likely early-stage signal'}, 'qssi_summary': {'qssi_score': 3, 'qssi_tier': '🔁 Weak Signal', 'qssi_interpretation': 'Low signal strength — may resolve on its own'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Moderate', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': True, 'volatility_score': np.float64(0.0), 'momentum_tier': 'Stable', 'saturation_tier': 'Low', 'qssi_tier': '🔁 Weak Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}",2025-05-02 to 2025-07-16,['Agitation'],{'Agitation': np.float64(100.0)},Computed
Order Accuracy → Out-of-Stock Notification,P2,"['Delivery Notification', 'Out-of-Stock Items']",2025-06-22,2,-33.33,72.61,41.63,60.22,42.15,Negative,Escalate,Negative x Escalate,"{'trend_symbol': '→', 'trend_pct': 0.0}","{'momentum_symbol': '→', 'momentum_delta': 0.0}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(0.0)}","{'has_pattern': False, 'pattern_type': 'N/A', 'pattern_strength': 'N/A', 'pattern_confidence': 'None', 'pain_day': 'N/A'}","{'signal_classification': {'saturation_index': 0.33, 'saturation_tier': 'Low', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Friction State', 'urgency_level': '⚠️ Risk', 'interpretation': 'Low emotion, stagnant path — requires intervention.'}, 'tactical_insight': {'emotional_pulse': 'Friction State — Stuck in emotional limbo while Trapped at low investment levels', 'battle_status': '⚠️ Risk Friction State', 'strategic_reality': 'Customers maintaining negative connection without improvement or deterioration — system recommends Audit for service or process gaps.'}, 'actionable_strategy': {'momentum_context': 'Stuck in emotional limbo', 'saturation_context': 'Trapped at low investment levels', 'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}","{'velocity_component': {'trend_symbol': '→', 'momentum_symbol': '→', 'velocity_score': 0, 'velocity_rationale': 'No meaningful trend or momentum detected'}, 'saturation_component': {'saturation_index': 0.33, 'saturation_score': 3, 'saturation_rationale': 'Low saturation — likely early-stage signal'}, 'qssi_summary': {'qssi_score': 3, 'qssi_tier': '🔁 Weak Signal', 'qssi_interpretation': 'Low signal strength — may resolve on its own'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Low', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': False, 'volatility_score': np.float64(0.0), 'momentum_tier': 'Stable', 'saturation_tier': 'Low', 'qssi_tier': '🔁 Weak Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}",2025-05-02 to 2025-07-16,['Agitation'],{'Agitation': np.float64(100.0)},Computed
Product Availability → Online vs In-Store Discrepancy,P3,"['Frozen Items', 'Online and Physical Store Inventory']",2025-06-07,2,-33.33,59.45,41.63,52.32,28.78,Negative,Watch,Negative x Watch,"{'trend_symbol': '→', 'trend_pct': 0.0}","{'momentum_symbol': '→', 'momentum_delta': 0.0}","{'volatility_tier': '✅ Stable', 'volatility_score': np.float64(0.0)}","{'has_pattern': True, 'pattern_type': 'Weekly', 'pattern_strength': np.float64(0.65), 'pattern_confidence': 'Strong', 'pain_day': 'Monday'}","{'signal_classification': {'saturation_index': 0.33, 'saturation_tier': 'Low', 'momentum_tier': 'Stable', 'combined_quadrant': 'Stable Momentum × Low Saturation'}, 'quadrant_interpretation': {'quadrant_label': 'Friction State', 'urgency_level': '⚠️ Risk', 'interpretation': 'Low emotion, stagnant path — requires intervention.'}, 'tactical_insight': {'emotional_pulse': 'Friction State — Stuck in emotional limbo while Trapped at low investment levels', 'battle_status': '⚠️ Risk Friction State', 'strategic_reality': 'Customers maintaining negative connection without improvement or deterioration — system recommends Audit for service or process gaps.'}, 'actionable_strategy': {'momentum_context': 'Stuck in emotional limbo', 'saturation_context': 'Trapped at low investment levels', 'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}","{'velocity_component': {'trend_symbol': '→', 'momentum_symbol': '→', 'velocity_score': 0, 'velocity_rationale': 'No meaningful trend or momentum detected'}, 'saturation_component': {'saturation_index': 0.33, 'saturation_score': 3, 'saturation_rationale': 'Low saturation — likely early-stage signal'}, 'qssi_summary': {'qssi_score': 3, 'qssi_tier': '🔁 Weak Signal', 'qssi_interpretation': 'Low signal strength — may resolve on its own'}}","{'trajectory_forecast': {'pem_trajectory': 'Stable / Inconclusive', 'pem_confidence': 'Moderate', 'explanation': 'Current emotional state lacks strong directionality or predictive anchors'}, 'signal_diagnostics': {'has_repeating_pattern': True, 'volatility_score': np.float64(0.0), 'momentum_tier': 'Stable', 'saturation_tier': 'Low', 'qssi_tier': '🔁 Weak Signal'}, 'future_risk_profile': {'trajectory_story': 'Customers maintaining negative connection without improvement or deterioration', 'action_guidance': 'Audit for service or process gaps.', 'recommended_owner': 'Product/Ops'}}",2025-05-02 to 2025-07-16,['Agitation'],{'Agitation': np.float64(100.0)},Computed
